"SpecCode","Species","Genus","Subfamily","Family","Order","Class","SuperClass"
64588,"Aapticheilichthys websteri","Aapticheilichthys","Procatopodinae","Procatopodidae","Cyprinodontiformes","Teleostei","Osteichthyes"
16239,"Aaptosyax grypus","Aaptosyax","Cyprininae","Cyprinidae","Cypriniformes","Teleostei","Osteichthyes"
2347,"Abactochromis labrosus","Abactochromis","Pseudocrenilabrinae","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
50683,"Acanthicus adonis","Acanthicus","Hypostominae","Loricariidae","Siluriformes","Teleostei","Osteichthyes"
13268,"Acanthicus hystrix","Acanthicus","Hypostominae","Loricariidae","Siluriformes","Teleostei","Osteichthyes"
10354,"Acanthocepola abbreviata","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes"
9216,"Acanthocepola indica","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes"
9215,"Acanthocepola krusensternii","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes"
9214,"Acanthocepola limbata","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes"
51803,"Acanthocharax microlepis","Acanthocharax","Characinae","Characidae","Characiformes","Teleostei","Osteichthyes"
9474,"Acanthocleithron chapini","Acanthocleithron","Mochokinae","Mochokidae","Siluriformes","Teleostei","Osteichthyes"
89,"Acanthocybium solandri","Acanthocybium","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes"
54894,"Acanthodraco dewitti","Acanthodraco","Gymnodraconinae","Bathydraconidae","Perciformes/Notothenioidei","Teleostei","Osteichthyes"
61379,"Ageneiogarra imberba","Ageneiogarra","Labeoninae","Cyprinidae","Cypriniformes","Teleostei","Osteichthyes"
70248,"Ageneiogarra incisorbis","Ageneiogarra","Labeoninae","Cyprinidae","Cypriniformes","Teleostei","Osteichthyes"
62421,"Ageneiogarra micropulvinus","Ageneiogarra","Labeoninae","Cyprinidae","Cypriniformes","Teleostei","Osteichthyes"
65046,"Ageneiogarra nujiangensis","Ageneiogarra","Labeoninae","Cyprinidae","Cypriniformes","Teleostei","Osteichthyes"
50346,"Ageneiogarra theunensis","Ageneiogarra","Labeoninae","Cyprinidae","Cypriniformes","Teleostei","Osteichthyes"
48774,"Acanthopoma annectens","Acanthopoma","Stegophilinae","Trichomycteridae","Siluriformes","Teleostei","Osteichthyes"
4306,"Acanthurus achilles","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
68166,"Acanthurus albimento","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
13770,"Acanthurus albipectoralis","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
4748,"Acanthurus auranticavus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
68792,"Acanthurus bahianus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
4307,"Acanthurus bariene","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
4750,"Acanthurus blochii","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
943,"Acanthurus chirurgus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
6010,"Acanthurus chronixis","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
944,"Acanthurus coeruleus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
1256,"Acanthurus dussumieri","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
4745,"Acanthurus fowleri","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
17471,"Acanthurus gahhm","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
4749,"Acanthurus grammoptilus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
4736,"Acanthurus guttatus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
23375,"Acanthurus japonicus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
4741,"Acanthurus leucocheilus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
4737,"Acanthurus leucopareius","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
1257,"Acanthurus leucosternon","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
