"autoctr","StockCode","SpecCode","SpeedRefNo","Length","LengthType","SpeedLS","LengthTypeSpeed","Speedms","Mode","DataRef","Reliable","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","SLa","SLb","TS"
71,32,24,308,25,"SL",6.97,"SL",1.7425,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
73,39,29,308,15,"SL",9.86,"SL",1.479,"burst",46348,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,3,2003-03-28,NA,NA,0,0.91,NA
72,39,29,308,20,"SL",8.04,"SL",1.608,"burst",684,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,0,0.91,NA
74,39,29,3499,17,NA,1.3,"TL",0.23,"sustained",3511,NA,"17.7 g, fish at 23 cm/sec.",22,1992-05-15,1,1994-09-28,NA,NA,0,0.91,NA
75,40,30,3499,22,"TL",3.5,"TL",0.79,"sustained",3511,NA,"23.7 g, fish at 79 cm/sec.",22,1992-05-15,1,1994-09-28,NA,NA,0,0.89,NA
76,54,44,3499,19,"TL",2.4,"TL",0.47,"sustained",3511,NA,"19.2 cm, fish at 47 cm/sec.",22,1992-05-15,NA,1994-09-28,NA,NA,NA,NA,NA
77,79,69,2120,27,"BL",1.44,"BL",0.3888,"sustained",2620,NA,"Maximum sustained speed at 15°C given as 1.9 BL/s TL assumed.",1,1993-05-17,1,2000-09-20,NA,NA,0,0.928,NA
78,79,69,2120,27,"BL",1.95,"BL",0.5265,"sustained",2620,NA,"Maximum sustained speed at 10°C given as 1.9 BL/s. TL assumed.",1,1993-05-17,1,2000-09-20,NA,NA,0,0.928,NA
79,104,89,308,125,"SL",0.32,"SL",0.4,"sustained",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
81,104,89,308,89,"SL",13.3,"SL",11.837,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
80,104,89,308,97,"SL",12.4,"SL",12.028,"burst",688,NA,"Lengths were transformed to SL in Ref. 308.",1,1992-01-30,1,2000-09-20,NA,NA,NA,NA,NA
